gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	pct_diff	cell_type
GATA6	1.1685047943859565e-228	-4.249441354844173	0.019	0.362	3.8767483563342875e-224	-0.34299999999999997	Fib
HSD3B2	4.419163942879089e-228	-7.685199458825098	0.002	0.302	1.4661460213289953e-223	-0.3	Fib
PDGFD	7.457069491170829e-226	-1.8840461145626208	0.262	0.693	2.474031945085746e-221	-0.43099999999999994	Fib
DANT2	3.6020076589951817e-225	-4.027079926833187	0.031	0.384	1.1950380810248314e-220	-0.353	Fib
SPTBN1	2.863561078177264e-224	-1.4410006821173253	0.509	0.831	9.500436589068708e-220	-0.32199999999999995	Fib
TMEM108	3.1669131134665538e-224	3.223949186374078	0.552	0.205	1.0506867636547985e-219	0.3470000000000001	Fib
GGT5	5.518156905225236e-222	2.2381085781319983	0.665	0.255	1.8307589164465765e-217	0.41000000000000003	Fib
CYP21A2	2.2694614220929697e-221	-7.518448941185314	0.002	0.293	7.529392160077845e-217	-0.291	Fib
DACH1	1.370194431805473e-219	-4.539513387599257	0.051	0.385	4.5458940664010175e-215	-0.334	Fib
CACNA1C	2.1354849042094194e-219	-2.253424329890332	0.219	0.59	7.084898266695591e-215	-0.371	Fib
MFAP5	8.125325726687693e-219	-5.812948862505312	0.02	0.333	2.695739316343176e-214	-0.313	Fib
STAR	4.4964172713752683e-218	-8.074799135382147	0.002	0.288	1.4917763581241727e-213	-0.286	Fib
MOXD1	8.100765847214961e-217	-5.226017297348351	0.022	0.341	2.687591085130508e-212	-0.319	Fib
DHCR24	1.2008408992200971e-216	-3.944266902689365	0.023	0.36	3.9840298513425163e-212	-0.33699999999999997	Fib
MACROD2	9.36026346855294e-216	-2.810005916787962	0.201	0.55	3.105454610961809e-211	-0.34900000000000003	Fib
APBB1IP	1.783575691047813e-215	3.3168051452749863	0.445	0.066	5.917369070189329e-211	0.379	Fib
CLSTN2	7.532691605371406e-215	4.117103388776473	0.446	0.075	2.4991210939140713e-210	0.371	Fib
INSR	8.22481826059071e-215	-1.5888990155162102	0.464	0.786	2.72874795431618e-210	-0.322	Fib
MGP	2.4951478862680214e-212	-1.5776333350145995	0.263	0.704	8.278152142271415e-208	-0.44099999999999995	Fib
SEMA3B	4.823049310010168e-212	-4.8283412592952955	0.029	0.35	1.6001430695820732e-207	-0.32099999999999995	Fib
RIPOR3	5.078093594352513e-212	2.4127766355995663	0.613	0.239	1.6847591117983333e-207	0.374	Fib
SOX5	7.532173104354931e-212	2.065332794931415	0.655	0.284	2.4989490708318354e-207	0.37100000000000005	Fib
GHR	1.447092438229013e-211	2.19653289685019	0.669	0.341	4.801018582312397e-207	0.328	Fib
C1orf21	2.1870166912236316e-209	-3.064009885825076	0.104	0.45	7.255865276472643e-205	-0.34600000000000003	Fib
MFGE8	3.45440997805913e-209	-2.0769302899666147	0.238	0.618	1.1460695984206777e-204	-0.38	Fib
AFDN	1.2707710883716741e-208	-3.770872662548284	0.062	0.392	4.216037239890703e-204	-0.33	Fib
SNTB1	5.06357845793995e-206	-2.67486395915676	0.133	0.5	1.6799434249907373e-201	-0.367	Fib
RERG	6.614121063013632e-206	-2.8977599185185405	0.113	0.48	2.1943669450760327e-201	-0.367	Fib
GMDS	1.179796656057648e-205	2.4164300276553017	0.604	0.252	3.914211365802459e-201	0.352	Fib
AC007563.2	1.8828669818757341e-203	-2.7928797901469125	0.157	0.541	6.246787785769124e-199	-0.384	Fib
NABP1	2.3552682469538407e-203	4.5877299872962585	0.336	0.021	7.814073462918757e-199	0.315	Fib
FMO2	1.3212986474356941e-202	3.294659808469844	0.441	0.073	4.383672522597402e-198	0.368	Fib
TNS3	2.41980116985764e-202	1.8721305718405596	0.732	0.505	8.028174341236692e-198	0.22699999999999998	Fib
LAMA2	8.639196081906087e-202	-2.3561350242025285	0.277	0.65	2.8662260840939826e-197	-0.373	Fib
PCSK5	1.7835613005621108e-201	1.9375770740752314	0.76	0.527	5.917321326874915e-197	0.23299999999999998	Fib
PTPRM	3.900271148411531e-201	1.7973964053613438	0.708	0.439	1.2939929589084936e-196	0.26899999999999996	Fib
PHACTR2	3.148765743097217e-200	-1.919208606535302	0.269	0.626	1.0446660105873637e-195	-0.357	Fib
RBM47	1.2466003917539413e-199	-2.115651475251923	0.226	0.587	4.135846119722051e-195	-0.361	Fib
LDB2	2.411524180049294e-199	-1.820944100350888	0.276	0.663	8.000713772149542e-195	-0.387	Fib
NHS	7.933330029784285e-199	-2.32714314604743	0.169	0.547	2.6320409039815322e-194	-0.378	Fib
EYA4	8.2607342697744e-199	3.837758728169388	0.385	0.05	2.740663808683053e-194	0.335	Fib
RGS6	1.239305242459861e-198	2.495818620821628	0.582	0.192	4.111643002909081e-194	0.38999999999999996	Fib
IGFBP5	2.3145418739106185e-198	-2.051313677682586	0.239	0.65	7.678955575073259e-194	-0.41100000000000003	Fib
RORA-AS1	4.705066123992296e-198	-2.3984281979815183	0.178	0.536	1.560999787956924e-193	-0.35800000000000004	Fib
AC099066.2	1.8454032594667534e-197	4.808334282282813	0.332	0.023	6.122494393932848e-193	0.309	Fib
UNC5C	2.2481777711261625e-197	1.997239709527584	0.685	0.392	7.458779391265269e-193	0.29300000000000004	Fib
RSPO1	3.82226841095817e-197	4.213661708400085	0.352	0.03	1.268113990703592e-192	0.32199999999999995	Fib
TBC1D4	3.8535997404879556e-197	-2.773667061694379	0.103	0.461	1.278508785901689e-192	-0.35800000000000004	Fib
VEGFC	2.759704572126814e-196	4.700409138336966	0.339	0.027	9.155871858945131e-192	0.312	Fib
FLVCR2	7.76460291605194e-196	-3.6762689769104417	0.069	0.386	2.576062309458552e-191	-0.317	Fib
RASSF8	2.570193567205408e-195	-2.641288416136475	0.131	0.488	8.527131197917382e-191	-0.357	Fib
PRICKLE1	4.423187499946567e-194	-2.0091624465068816	0.245	0.621	1.4674809168572725e-189	-0.376	Fib
RNF144A	1.276543485511917e-193	-3.54760258827669	0.062	0.383	4.235188321882887e-189	-0.321	Fib
PCDH9	1.4025885364315867e-193	-3.1137908651588564	0.156	0.454	4.6533679873190754e-189	-0.29800000000000004	Fib
MTSS1	2.388415874576403e-192	-2.247059971768476	0.257	0.558	7.924047347082131e-188	-0.30100000000000005	Fib
APBB2	4.143630155875345e-192	1.4079644576172021	0.76	0.6	1.3747321768147633e-187	0.16000000000000003	Fib
TENM2	5.165672582081821e-192	-2.9429621551629936	0.199	0.51	1.713815192557286e-187	-0.311	Fib
CLU	8.423514958692884e-191	-4.265157198062754	0.028	0.335	2.7946695578455383e-186	-0.307	Fib
PAWR	3.048948976207041e-188	-2.0388026828566455	0.142	0.526	1.0115498018362099e-183	-0.384	Fib
MCF2L2	1.0479136547067175e-187	-3.0628785912026597	0.096	0.409	3.4766631322204767e-183	-0.31299999999999994	Fib
ITIH5	7.416659016602582e-187	3.9561184026695506	0.341	0.031	2.4606249619382386e-182	0.31000000000000005	Fib
RARB	7.2601842160525495e-186	-3.0576943049588086	0.073	0.406	2.4087113173597544e-181	-0.333	Fib
PEBP1	1.5313497856221624e-185	-3.009824162805236	0.08	0.418	5.080559183758648e-181	-0.33799999999999997	Fib
NAA11	2.403777558389418e-185	-4.3952203776408965	0.047	0.334	7.975012805468572e-181	-0.28700000000000003	Fib
RUNX2	4.390336744319313e-185	3.1855479621354696	0.417	0.075	1.4565820216628185e-180	0.34199999999999997	Fib
PDE10A	2.672499664465466e-184	-3.420663379862956	0.08	0.389	8.866552136797075e-180	-0.309	Fib
HS3ST2	2.2429228577982875e-183	4.441454703365441	0.315	0.022	7.441345165317378e-179	0.293	Fib
NEURL1B	1.1752080981993848e-182	-2.787086502063679	0.087	0.43	3.8989879073960993e-178	-0.34299999999999997	Fib
CYP11A1	1.2754647167313385e-182	-4.850482627216016	0.02	0.296	4.2316092906995617e-178	-0.27599999999999997	Fib
ARHGAP24	4.9391448642301416e-182	2.546771788782297	0.514	0.141	1.638660091605634e-177	0.373	Fib
TBX15	6.251879340605148e-182	4.960939492730347	0.26	0.005	2.07418600883257e-177	0.255	Fib
FBN1	2.571934171141574e-181	1.7377052222687044	0.675	0.352	8.5329059995964e-177	0.32300000000000006	Fib
SLC5A3	3.4975495404246227e-181	4.074018105820769	0.362	0.047	1.1603820110266771e-176	0.315	Fib
LGI4	5.293771437773592e-181	4.5601834386211335	0.3	0.018	1.7563145499101446e-176	0.282	Fib
ATRNL1	9.223284170086051e-181	-3.5691835970774313	0.06	0.362	3.060008989109449e-176	-0.302	Fib
CEMIP2	3.1513476817745956e-180	3.56318447423617	0.379	0.055	1.0455226203823576e-175	0.324	Fib
TNC	7.491733766241541e-180	4.694297786687709	0.333	0.035	2.485532511625956e-175	0.29800000000000004	Fib
DCDC1	7.651582663101186e-180	4.69659686872145	0.341	0.042	2.5385655801370803e-175	0.29900000000000004	Fib
HIP1	7.860364024788786e-180	1.599588218813063	0.733	0.498	2.6078329725041754e-175	0.235	Fib
AC098864.1	1.3756681138213862e-179	-3.941606401649553	0.043	0.338	4.564054101225213e-175	-0.29500000000000004	Fib
MT2A	2.9309433542329845e-179	-2.839477363927754	0.053	0.383	9.723990766338772e-175	-0.33	Fib
ARHGAP15	8.377709411222466e-179	2.957966511226378	0.437	0.087	2.779472651361278e-174	0.35	Fib
SSH2	2.6290485094330585e-178	1.4943566909355557	0.719	0.524	8.722394239746057e-174	0.19499999999999995	Fib
C9orf3	3.246078722586924e-178	-1.470100859499155	0.392	0.717	1.0769515377926638e-173	-0.32499999999999996	Fib
TRPC6	8.58820367142714e-178	3.7552691817399757	0.332	0.032	2.8493083320693822e-173	0.30000000000000004	Fib
XIST	8.44790056237487e-177	-0.3795403501359145	0.281	0.615	2.8027599695791107e-172	-0.33399999999999996	Fib
IL16	1.647947925270512e-176	-3.271611430066005	0.076	0.373	5.467396831669977e-172	-0.297	Fib
AL358113.1	3.340903683823684e-176	-2.5270330424684992	0.103	0.445	1.1084116151821837e-171	-0.342	Fib
PPFIBP1	1.1974359536271705e-175	-2.405243220416923	0.135	0.471	3.9727332633488637e-171	-0.33599999999999997	Fib
COL4A5	1.3396015424275345e-175	-4.532315871553029	0.03	0.309	4.444396037311831e-171	-0.279	Fib
DKK3	4.5349746263626937e-175	-4.365612842991152	0.022	0.301	1.504568531788351e-170	-0.27899999999999997	Fib
HGF	8.508330996287534e-175	3.3649102661545456	0.372	0.055	2.822808974638315e-170	0.317	Fib
PLXNA4	3.5099957901611508e-174	3.2507664440790762	0.377	0.054	1.164511303301765e-169	0.323	Fib
OGN	1.825079627571002e-173	-5.321028039374556	0.02	0.281	6.055066680392314e-169	-0.261	Fib
PBX1	2.815235433658785e-173	-1.370801403863192	0.422	0.756	9.340106598249752e-169	-0.334	Fib
PAMR1	4.5211310112101354e-173	-5.44737227957079	0.017	0.274	1.4999756355891867e-168	-0.257	Fib
ELL2	1.0503779597690623e-172	2.5466009749738765	0.488	0.132	3.484838957125818e-168	0.356	Fib
COL5A3	1.43880928688963e-172	3.6693571650911476	0.358	0.049	4.773537571113726e-168	0.309	Fib
TBX3	1.7038348509368456e-172	-4.1758660326472175	0.007	0.256	5.652812884953172e-168	-0.249	Fib
MIR99AHG	2.480270033297727e-172	-1.2132458630675869	0.584	0.878	8.228791889471868e-168	-0.29400000000000004	Fib
CPE	3.3920065824776323e-172	-4.935697496183735	0.024	0.293	1.1253660238686041e-167	-0.26899999999999996	Fib
SLC23A2	2.304256239356507e-171	-1.923473580580835	0.238	0.572	7.644830925313083e-167	-0.33399999999999996	Fib
MYO1E	3.3755547397245876e-171	2.570490380507658	0.515	0.167	1.1199077959984264e-166	0.348	Fib
NRCAM	7.58520095934032e-171	-3.8279898797581793	0.05	0.334	2.5165421222803382e-166	-0.28400000000000003	Fib
ARMC9	2.4804363074506585e-170	-2.4596546447847705	0.133	0.453	8.22934353722905e-166	-0.32	Fib
PRKAG2	2.1605780593421453e-169	2.690764824952306	0.514	0.163	7.168149827479435e-165	0.351	Fib
DOCK9	4.383736992290924e-168	-1.996080388580498	0.244	0.551	1.4543924219323597e-163	-0.30700000000000005	Fib
LINC00290	7.079076871789982e-168	-4.739992303330034	0.017	0.277	2.3486253337537622e-163	-0.26	Fib
DST	1.3296638390588814e-167	1.5676135614728233	0.701	0.451	4.411425718845651e-163	0.24999999999999994	Fib
NAV2	3.800389233791288e-167	1.1584553564849727	0.891	0.767	1.2608551360949355e-162	0.124	Fib
PRKCB	4.744211076560939e-167	3.9352439669112966	0.308	0.027	1.5739869088706226e-162	0.28099999999999997	Fib
IGHA1	7.692991821232082e-167	6.501837068024087	0.241	0.005	2.5523038965301676e-162	0.236	Fib
HNMT	1.945521093586145e-165	3.653939612942461	0.336	0.04	6.454655332190753e-161	0.29600000000000004	Fib
GLUL	1.4188386711266707e-164	-2.5696802004562698	0.14	0.441	4.7072810591969555e-160	-0.301	Fib
SYT1	1.5889150923170302e-163	-4.021166902601719	0.059	0.323	5.271543601780211e-159	-0.264	Fib
AC113383.1	4.708009379620058e-162	4.441718574469027	0.276	0.017	1.5619762718765466e-157	0.259	Fib
EFNA5	1.0352547946269666e-160	-2.3927189096104633	0.172	0.476	3.434664832133887e-156	-0.304	Fib
ITPR2	3.566773924300833e-160	-1.684744010670422	0.29	0.597	1.1833485848652875e-155	-0.307	Fib
FP236383.1	8.319997877863123e-160	2.952956950903241	0.601	0.309	2.7603256959386483e-155	0.292	Fib
EFHD1	8.81152380198272e-160	3.718589128916465	0.319	0.036	2.923399251783807e-155	0.28300000000000003	Fib
CCND3	1.813188779603727e-159	1.638634514577923	0.674	0.4	6.015616414091285e-155	0.274	Fib
MAP1B	2.0330688187821558e-159	2.490223106816356	0.505	0.189	6.745112420073558e-155	0.316	Fib
NR4A1	1.8495568821715736e-158	-3.1824591966469917	0.07	0.367	6.13627486798063e-154	-0.297	Fib
TNFAIP8	2.086905810000131e-158	3.6672776177672506	0.312	0.033	6.923727405837435e-154	0.279	Fib
MED13L	6.023741975740801e-157	1.079240830418692	0.839	0.742	1.9984968752915253e-152	0.09699999999999998	Fib
PRKCH	2.0270855482518737e-156	2.0727848819166708	0.615	0.338	6.725261723435241e-152	0.27699999999999997	Fib
SH3D19	1.1909144083994128e-155	1.419461879512026	0.793	0.633	3.9510967327467316e-151	0.16000000000000003	Fib
NECAB1	1.4378111450996203e-155	3.758607628859484	0.336	0.05	4.77022603609701e-151	0.28600000000000003	Fib
LINC01807	4.449904649805236e-154	-4.652735110360404	0.021	0.264	1.476344865665883e-149	-0.24300000000000002	Fib
AL117190.2	1.0470748271334238e-153	-2.7510768360754865	0.051	0.345	3.4738801539805604e-149	-0.294	Fib
MT-ND1	1.2393796489434706e-153	-1.726131725107734	0.258	0.582	4.111889861299752e-149	-0.32399999999999995	Fib
GUCY1A2	3.513888293684608e-153	-4.741633511501703	0.033	0.276	1.1658027191957424e-148	-0.24300000000000002	Fib
DDIT4	4.357961800438724e-153	-2.854858752811658	0.133	0.413	1.4458409865315554e-148	-0.27999999999999997	Fib
PTCH1	6.101398097291224e-153	-3.6310618392741802	0.056	0.325	2.0242608467383095e-148	-0.269	Fib
ITGB5	1.541380635643537e-152	2.3048030054140973	0.494	0.163	5.113838534874563e-148	0.33099999999999996	Fib
CDH13	8.113023772131124e-152	-2.3994590772301474	0.211	0.484	2.6916578968799427e-147	-0.273	Fib
AC027288.3	1.9658199149328664e-151	-3.727771220997095	0.046	0.304	6.522000731772771e-147	-0.258	Fib
AGMO	4.070687748825218e-151	4.165479850273988	0.269	0.02	1.3505320744277426e-146	0.24900000000000003	Fib
EPHA3	7.662634946121276e-151	3.303076412562901	0.311	0.037	2.542232396074656e-146	0.274	Fib
ADAMTS17	3.5248983419026444e-150	3.833264322150021	0.353	0.066	1.1694555228930403e-145	0.287	Fib
ADK	4.0588792746953383e-150	1.5458892590286748	0.647	0.412	1.3466143769656723e-145	0.23500000000000004	Fib
ANKS1A	5.771533609635516e-150	-1.8201679334076253	0.269	0.559	1.9148217056687753e-145	-0.29000000000000004	Fib
CD34	1.338768302701026e-149	-5.587071139693105	0.007	0.23	4.441631597871194e-145	-0.223	Fib
AL117190.1	1.6357420950867164e-149	-2.1857409315624263	0.089	0.408	5.426901548869199e-145	-0.31899999999999995	Fib
KCNQ1	1.9074107370064331e-149	-1.769541311531305	0.23	0.545	6.328216602166243e-145	-0.31500000000000006	Fib
SOAT1	6.988185114261489e-149	-2.203570588140761	0.136	0.444	2.3184701753585344e-144	-0.308	Fib
AL691420.1	7.3793733239048215e-149	5.097837749573507	0.241	0.011	2.4482546876719025e-144	0.22999999999999998	Fib
SH3RF1	7.460290516387995e-149	2.6621352678538903	0.472	0.152	2.4751005846220452e-144	0.31999999999999995	Fib
PLAGL1	1.5721790012460793e-148	-2.685035956730217	0.101	0.393	5.216018272434117e-144	-0.29200000000000004	Fib
SCD5	4.316722137318106e-148	-2.2081518922016814	0.11	0.421	1.4321589034980278e-143	-0.311	Fib
SH3RF3	6.970259072647463e-148	1.6654614358405182	0.688	0.451	2.3125228525322487e-143	0.23699999999999993	Fib
AL139383.1	7.095215845351238e-148	-2.6689687581083286	0.105	0.388	2.35397976101218e-143	-0.28300000000000003	Fib
ANGPT4	2.9327768985447293e-147	5.723781849961004	0.226	0.008	9.73007391630185e-143	0.218	Fib
FSTL1	1.3077036872347341e-146	1.9260294579568646	0.655	0.403	4.338568523138678e-142	0.252	Fib
RARRES2	4.0988126805359604e-146	-2.9094591481216647	0.056	0.342	1.3598630830214155e-141	-0.28600000000000003	Fib
FMO3	1.891296937639735e-145	4.910831548151967	0.244	0.013	6.274755850007349e-141	0.23099999999999998	Fib
