gene	cluster_1	cluster_2	cluster_3	cluster_4_1	cluster_4_2	cluster_4_3	cluster_5	cluster_6	cluster_7
CCR7	1.04	0.58	2.17	1.13	3.07	0	3.77	0.5	6.25
LAMP3	0.66	1.26	0.74	0.8	2.51	2.85	3.03	3.48	0.3
ZNF366	4.47	13.81	14.1	8.68	10.34	15.85	9.52	5.47	0.3
CSF3R	21.08	57.27	37.52	41.8	27.09	71.54	33.68	27.36	2.98
FCGR3B	0.81	1.6	1.33	2.25	1.96	0	1.05	0	0
CEACAM8	0.08	0.29	0.3	0	1.4	0.81	0.52	0.5	0.6
CXCR2	0.15	0.15	0.25	0.16	0.28	0.41	1.67	0	0
MPO	0.77	0.34	0.99	1.13	10.89	1.63	1.88	0.25	2.68
ELANE	0.35	0.1	0.54	0.48	7.82	0	1.15	1	2.08
PRTN3	0.23	0.29	0.44	0.16	5.59	0	1.36	0.25	0.6
SIGLEC8	8.13	24.32	11.09	3.22	1.96	3.25	8.05	10.2	0
CLC	0.04	0.1	0.15	0	0	0	0.52	0	0
PRG2	0.08	0	0.1	0.32	0	0	0.52	0	0.3
IL5RA	0.54	0.87	1.48	0.96	3.63	1.22	7.32	1	0
EPX	0.19	0.29	0.35	0.16	0.56	1.22	1.67	1	0
RNASE2	0.15	1.02	0.69	1.77	2.51	2.85	0.42	0.25	0
RNASE3	0.15	0	0.1	0.16	0.28	0.41	0.1	0.25	0
ENPP3	3.2	5.96	6.46	2.41	5.87	3.66	11.3	20.9	0.6
CCR3	3.08	4.46	8.73	4.18	4.19	2.85	7.85	3.48	0.3
GATA2	0.23	0.48	0.25	0.64	7.54	0.41	1.46	0.75	0.3
MS4A2	0.12	0.19	0.25	0.32	3.35	0.81	1.26	0.25	0
ARHGEF25	0.04	0.39	0.25	0	0.56	0	0.63	0.25	0
KIT	0.27	0.73	0.54	0.16	8.1	0.81	3.77	1	5.06
TPSAB1	0	0	0	0	2.51	0	0.21	0	0
CMA1	0	0.05	0.05	0.16	0.28	0	0.21	0	0
CPA3	0.39	0.48	0.99	0.48	8.94	1.22	4.6	0	0.3
HPGDS	4.74	10.71	11.64	0.96	6.42	3.25	9.1	4.73	0.6
HBB	5.86	5.62	7.3	5.79	10.06	7.32	5.75	4.23	80.06
HBA1	4.43	4.7	5.77	6.27	10.06	5.28	4.29	2.49	67.56
GYPA	0.08	0.15	0.39	0.96	0.56	2.03	1.26	0.25	36.61
SLC4A1	1.16	1.16	2.07	1.93	5.03	1.63	5.02	0.75	74.7
ALAS2	0.27	0.34	0.49	0.32	0.84	0.41	0.63	0	48.51
CD83	18.65	17.49	52.32	27.33	18.99	60.16	35.36	20.4	4.46
CD40	3.01	9.5	6.61	3.54	4.19	3.66	6.69	6.47	0.89
LAMP1	15.53	25.68	30.42	17.36	13.13	19.92	28.87	20.9	10.12
ICOSLG	1.39	3.63	4.09	2.09	3.35	4.88	5.13	2.99	0.6
RELB	4.78	9.3	10.21	7.4	8.1	16.67	13.18	15.67	2.38
MKI67	0.42	0.39	0.3	1.93	4.47	0.81	1.05	1	25.6
TOP2A	0.85	1.31	1.68	1.93	5.59	1.22	5.23	2.49	25
PCNA	0.58	1.31	1.43	1.61	1.4	2.44	2.3	1.24	7.44
CENPF	0.27	1.26	0.99	1.45	3.63	0.81	3.14	2.49	20.83
