gene,CD4 proliferation,CD4 Tcm,CD4 Tem,CD4 Temra,CD4 Tfh,CD4 Th17,CD4 Tn,CD4 Trm,CD4 Trm cell-death,CD4 Trm naive-like,CD4 Tstr,CD8 quiescence,CD8 senescence,CD8 Tem,CD8 Temra,CD8 Tn,CD8 Trm,CD8 Trm anergy,Heterogeneous,None T
GZMB,-0.4819,-0.4336,-0.3487,1.3953,-0.0507,-0.4511,-0.4512,-0.431,-0.4819,-0.4819,0.0667,-0.4819,-0.2377,0.203,3.8298,-0.4819,-0.0979,-0.261,0.0485,-0.3707
CD14,-0.0242,-0.0936,-0.3829,0.0397,-0.3264,-0.38,-0.3251,0.2635,-0.7516,-0.7516,0.678,-0.7516,-0.485,-0.4239,3.7108,-0.7516,0.0353,1.0953,0.1598,-0.5346
FCGR3A,-0.2407,-0.4757,-0.3197,1.9657,-0.2382,-0.3332,-0.4252,-0.2661,-0.4923,-0.4923,-0.2249,-0.4923,-0.4055,-0.1235,3.5852,-0.2864,-0.1448,-0.4122,0.2506,-0.4284
CXCL13,-0.3566,-0.2417,0.1801,-0.2703,-0.4211,0.3015,-0.3569,0.1238,-0.7723,-0.7723,-0.7723,-0.7723,0.5,-0.3352,3.5167,-0.3577,-0.6386,0.3283,1.5371,-0.4204
TBX21,-0.5341,-0.6275,-0.412,1.7001,-0.0234,-0.2204,-0.6425,-0.1561,-0.8565,-0.8565,0.0756,0.3922,-0.3171,-0.0797,3.4727,-0.6565,-0.1662,-0.0862,0.5047,-0.5105
BAX,0.787,-0.2837,-0.2462,0.9218,-1.131,-0.4459,-0.5947,-0.2206,0.6535,-1.6994,0.1638,-0.3554,0.1145,0.2217,3.1329,-0.8651,-0.2079,-0.1303,0.9104,-0.7256
PRF1,-0.5348,-0.6379,-0.4939,1.8645,-0.0921,-0.427,-0.5978,-0.22,-0.4566,-0.9972,-0.375,-0.4287,-0.3718,0.8298,3.1318,-0.7507,0.5553,0.3989,0.4008,-0.7976
CX3CR1,-0.5766,-0.5405,-0.3881,2.1813,-0.3572,-0.3978,-0.5701,-0.254,-0.5766,-0.5766,-0.5766,-0.3445,-0.3876,0.0833,3.0531,-0.5766,-0.3448,0.9301,0.764,-0.5441
FAS,-0.2016,-0.2509,-0.0718,0.3482,-0.9215,-0.2669,-0.5738,1.2929,-1.518,-0.7803,-0.4543,-0.7776,-0.174,1.5265,2.5539,-0.9055,0.62,1.0646,0.367,-0.8769
RUNX3,-0.6349,-0.6241,-0.4502,1.3166,0.5192,-0.4929,-0.8151,0.5586,-1.3757,-1.6227,-0.2693,0.1764,0.0623,0.9468,2.5333,-0.1574,1.0549,0.7262,-0.4853,-0.9667
BCL6,0.1355,-0.5967,-0.481,-0.0589,-0.2705,-0.0588,-1.1321,0.226,1.7309,-1.2461,-0.1261,-1.8666,-0.443,0.4204,2.5212,-0.03,0.1565,1.1193,0.68,-0.68
ID2,-0.2198,-0.739,-0.4802,0.7543,-0.2382,-0.2905,-0.6738,-0.006,2.2477,-0.9578,-0.8176,-0.8498,-0.5924,1.4799,2.497,-0.6608,0.3361,0.0046,-0.3273,-0.4665
SESN2,-0.2001,-0.7175,-0.2572,0.7754,0.2804,0.7554,-0.6273,-0.6434,1.5096,-1.5617,1.6085,-1.5617,-0.2797,0.672,2.0796,-0.7062,0.0651,-0.5925,0.2875,-0.8863
STAT1,-0.2175,-0.0762,-0.208,0.8717,-0.3562,0.3915,-0.3919,1.0813,-1.9691,-1.6399,-1.4653,0.8088,0.2639,-0.3092,1.9213,-0.1618,0.5577,1.5756,0.0276,-0.7042
CDK1,-0.5908,0.9556,1.406,-0.5908,-0.5908,1.5559,0.1656,-0.5908,-0.5908,-0.5908,-0.5908,-0.5908,-0.5908,-0.5908,-0.5908,2.1567,-0.5908,-0.5908,-0.5908,2.0309
LEF1,0.1728,1.8773,0.25,-1.2071,-1.1899,0.2052,1.0313,-0.384,-0.4824,0.8371,-1.3586,0.6681,0.2773,-1.1987,-0.6432,2.0414,-0.4023,-0.9587,-0.3795,0.8438
SELL,0.0377,1.3814,0.2016,-0.7009,-0.9935,-0.5075,0.4815,-0.5883,1.2399,0.9843,-0.9265,1.5282,0.0604,-1.2169,-1.3055,2.0356,-0.584,-0.8775,-0.6545,0.4045
TCF7,0.2643,1.4598,0.4329,-1.334,-1.704,0.372,0.6846,-0.0613,0.4526,1.3385,-1.0265,1.1145,0.1483,-1.1104,-1.5935,1.4865,0.2379,-0.8303,-0.498,0.166
CD79A,0.8908,0.7001,0.1447,1.5675,-0.5313,-0.4793,0.2196,-0.2719,-1.3408,-0.7677,-1.3408,-1.3408,0.602,-0.45,-1.3408,1.1377,1.8995,-0.3552,1.1079,-0.0513
CDKN2A,-0.1655,-0.3619,0.1167,0.0302,0.2308,-0.2648,-0.4683,-0.2959,-0.8242,-0.2792,-0.8242,-0.8242,-0.2408,2.4388,-0.8242,-0.6067,0.2674,2.8392,0.768,-0.7114
CASP3,-0.0338,-0.1452,-0.4167,0.5872,0.9253,0.0943,-0.8133,-0.614,-2.0401,-1.249,0.4267,-0.0444,-0.092,0.62,0.7644,-0.7051,0.2315,2.6156,1.0106,-1.1221
CCR5,-0.2781,-0.5899,-0.4204,0.508,-0.6635,-0.5638,-0.4635,1.0999,-0.8643,-0.6656,-0.8643,-0.8643,-0.5138,1.3753,1.8789,-0.4666,1.2284,2.2736,-0.4423,-0.7038
TNFRSF9,-0.5005,-0.7579,0.3606,1.0217,0.0259,-0.7604,-0.591,-0.9554,-0.9554,-0.9554,-0.9554,1.0166,-0.0927,0.6492,2.1018,-0.7176,-0.672,2.2702,0.6282,-0.1604
IL17A,-0.2236,-0.2236,-0.2236,-0.2236,-0.2236,-0.2236,-0.2236,-0.2236,-0.2236,-0.2236,-0.2236,-0.2236,-0.2236,-0.2236,-0.2236,-0.2236,-0.2236,-0.2236,4.2485,-0.2236
IL23R,-0.2987,-0.1145,-0.1454,-0.3117,-0.2287,0.6784,-0.5225,0.5895,-0.8946,-0.2823,-0.2469,-0.8946,0.0163,-0.8946,2.2584,-0.7195,-0.402,-0.4044,3.02,-0.2024
ITGAE,-0.1143,-0.6419,0.0189,0.8365,-0.5217,0.9731,-0.6931,0.5424,-1.4604,-2.02,0.4681,0.2842,0.7015,-0.2554,0.4393,-0.8316,-0.0189,0.7698,2.5186,-0.9951
TOP2A,0.1706,-0.485,-0.2471,-0.139,0.0671,0.904,-0.7488,1.5019,-1.0335,-0.3581,-1.0335,-1.0335,0.1683,-0.201,2.1703,-0.8453,-0.8478,0.1341,2.294,-0.4375
GLB1,1.1856,0.4306,0.0201,0.8731,-0.2208,1.1382,-0.517,0.5395,-2.3849,-0.9847,-0.5739,-0.9734,0.2685,0.7236,-0.7095,-0.7352,0.349,0.5283,1.9749,-0.932
