gene,1,2,3,4,5,6,7,8,9,10,11
TH,-0.41,1.09,-0.55,1.91,-0.68,-0.68,-0.16,1.52,-0.68,-0.68,-0.68
ABCB1,0.99,0.17,-0.45,1.84,-0.75,-0.75,1.36,-0.63,-0.94,-1.06,0.21
THY1,-0.36,-0.35,-0.34,-0.19,3,-0.4,-0.05,-0.38,-0.36,-0.32,-0.27
LUM,-0.31,-0.23,-0.27,-0.17,3,-0.23,-0.27,-0.35,-0.23,-0.41,-0.54
COL1A2,-0.27,-0.15,-0.23,-0.11,2.99,-0.22,-0.31,-0.3,-0.32,-0.52,-0.56
COL3A1,-0.33,-0.25,-0.34,-0.18,2.99,0,-0.19,-0.44,-0.4,-0.46,-0.38
COL1A1,-0.34,-0.2,-0.27,0.05,2.98,-0.4,-0.37,-0.41,-0.49,-0.44,-0.11
PDGFRB,-0.38,-0.29,-0.38,-0.13,2.97,0.15,-0.4,-0.4,-0.39,-0.51,-0.23
TNC,-0.34,-0.12,-0.24,0.18,2.95,-0.4,-0.32,-0.41,-0.45,-0.63,-0.23
MGP,-0.37,-0.3,-0.4,-0.27,2.88,-0.39,0.49,-0.4,-0.56,-0.58,-0.09
TAGLN,-0.46,-0.09,-0.11,-0.57,2.66,0.73,-0.62,0.41,-0.71,-0.72,-0.53
ADIPOQ,-0.31,-0.33,-0.3,-0.16,-0.31,3.01,-0.3,-0.32,-0.3,-0.34,-0.34
EFNA5,-0.46,-0.42,-0.43,0.11,0.1,2.92,-0.03,-0.37,-0.57,-0.58,-0.29
AIFM2,-0.09,0.05,-0.3,-0.2,0.1,2.87,-0.52,-0.58,0.02,-0.93,-0.41
CYB5A,-0.55,-0.4,-0.25,-0.41,0.57,2.7,-0.26,-0.53,-0.74,0.57,-0.7
MCAM,-0.45,-0.52,-0.51,-0.27,0.81,2.57,0.73,-0.57,-0.52,-0.62,-0.65
FABP4,-0.53,-0.48,-0.37,-0.41,0.04,2.56,1.24,-0.56,-0.57,-0.56,-0.36
CDH5,-0.32,-0.31,-0.32,-0.05,-0.32,-0.31,3,-0.35,-0.32,-0.29,-0.41
KDR,-0.37,-0.32,-0.32,0,-0.38,-0.38,2.99,-0.27,-0.36,-0.39,-0.2
CD34,-0.37,-0.27,-0.3,0.33,-0.33,-0.38,2.94,-0.37,-0.21,-0.52,-0.52
PLVAP,-0.31,-0.29,-0.16,0.43,-0.31,-0.45,2.91,-0.32,-0.48,-0.44,-0.59
EMCN,-0.36,-0.3,-0.3,0.53,-0.38,-0.46,2.89,-0.34,-0.45,-0.52,-0.3
ENG,-0.22,-0.37,0.35,0.12,0.41,-0.59,2.66,-0.23,-0.91,-0.15,-1.08
NES,-0.39,-0.5,-0.5,-0.07,1.45,-0.48,2.42,-0.63,-0.04,-0.63,-0.63
POSTN,-0.52,-0.38,-0.4,0.22,1.69,-0.52,2.2,-0.39,-0.61,-0.51,-0.77
PECAM1,-0.67,-0.32,0.86,-0.24,-0.98,-0.99,2.01,0.67,1.06,-0.9,-0.51
CSF3R,-0.49,-0.49,0.84,-0.03,-0.5,-0.48,-0.43,2.77,-0.49,-0.42,-0.28
S100A8,-0.41,-0.38,-0.44,1.43,-0.54,-0.47,-0.47,2.47,-0.22,-0.3,-0.66
S100A4,1.23,0.08,-0.58,-0.19,-0.65,-1.11,-1.19,1.97,-0.7,0.52,0.62
CD33,-0.59,-0.57,1.72,-0.24,-0.6,-0.63,-0.57,1.91,-0.62,-0.67,0.86
CYP11B2,-0.7,-0.09,-0.7,1.55,-0.7,-0.28,-0.7,1.56,1.46,-0.7,-0.7
MZB1,-0.34,0.04,-0.35,-0.27,-0.35,-0.34,-0.34,-0.35,3,-0.34,-0.34
SDC1,-0.4,-0.39,-0.39,-0.26,-0.32,-0.4,-0.32,-0.3,2.99,-0.25,0.05
IGHG1,-0.49,0,-0.33,-0.1,-0.34,-0.16,-0.38,-0.2,2.97,-0.5,-0.47
CD38,-0.41,-0.25,0.33,-0.11,-0.5,-0.53,-0.48,-0.26,2.93,-0.3,-0.43
IGHA1,-0.67,0.35,-0.44,0.03,-0.4,-0.22,-0.5,-0.25,2.86,-0.04,-0.72
CYP21A2,-0.49,-0.23,-0.29,0.65,1.22,0.71,-0.89,-0.89,2,-0.89,-0.89
CHGA,-0.38,1.34,-0.47,0.58,0.05,-0.36,0.89,-0.34,1.54,-1.43,-1.43
ALAS2,-0.3,-0.31,-0.31,-0.26,-0.31,-0.32,-0.29,-0.31,-0.28,3.01,-0.33
GYPA,-0.31,-0.3,-0.31,-0.21,-0.31,-0.34,-0.28,-0.26,-0.35,3.01,-0.35
SLC4A1,-0.32,-0.32,-0.33,-0.17,-0.33,-0.32,-0.3,-0.31,-0.29,3.01,-0.32
HBB,-0.25,-0.33,-0.35,-0.14,-0.35,-0.34,-0.27,-0.34,-0.29,3.01,-0.35
CCL21,-0.48,-0.37,-0.42,-0.3,-0.33,-0.48,-0.18,0.7,-0.48,2.83,-0.48
KIT,-0.31,-0.32,-0.32,-0.26,-0.32,-0.33,-0.27,-0.34,-0.32,-0.22,3.01
PROX1,-0.62,-0.08,-0.22,0.83,-0.06,-0.84,0.6,-0.3,-0.8,-0.97,2.47
NR5A1,-0.57,-0.4,-0.3,1.71,-0.39,-0.58,0.33,-0.56,-0.5,-0.87,2.14
IL5RA,-0.53,-0.31,-0.36,1.43,-0.65,-0.83,-0.19,-0.45,0.91,-1.05,2.04
DACH1,-0.55,-0.4,-0.44,1.08,-0.64,-0.74,1.72,-0.15,-0.76,-0.84,1.72
